,기업명,직무,경력사항,학력,근무지,근무형태,분류,상세링크
21,(주)디지트론,"Digital H/W, 임베디드 S/W 및 GUI, RF 설계, 기구설계, 연구지원 분야   신입 및 경력 채용",신입 · 경력,"대학(2,3년)↑",경기 성남시 분당구,정규직,"['유지보수', 'QA/테스터', '임베디드', 'FPGA', 'H/W']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41811963
22,(주)디케이비엠시,2022년 상반기 DKBMC 신입/경력 채용 공고,신입 · 경력,학력무관,서울 강남구,정규직,"['데이터분석가', '웹개발', '웹마스터', '유지보수', '프론트엔드']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41812516
23,파크시스템스(주),2021년 각 부문 신입/경력사원 채용,신입 · 경력,"대학(2,3년)↑",경기 수원시 영통구,정규직,"['백엔드/서버개발', '웹개발', '웹마스터', '유지보수', '정보보안']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41814143&adsCategoryItem=effect_bold&
24,(주)이누인터내셔날,[무신사계열사] 웹디자이너 채용,경력,학력무관,서울 강남구,정규직,"['퍼블리셔', '이커머스', '그래픽디자인', '북디자인', '브랜드디자인']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41818371
25,(주)미디어로그,통신분야 프론트엔드/백엔드,3 ~ 10년,대학교(4년)↑,서울전체,정규직,"['백엔드/서버개발', '웹개발', '프론트엔드', 'DBA', 'SE(시스템엔지니어)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821817
26,(주)인라이플,TTS 엔진개발,2 ~ 10년,학력무관,서울전체,정규직,"['데이터분석가', '웹개발', '프론트엔드', 'DBA', 'SE(시스템엔지니어)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821707
27,(주)비앤씨컴퍼니,"경영지원/설계, 기술영업/공사관리/온라인마케팅/생산부 채용",신입 · 경력,학력무관,경기 파주시,정규직,"['CSS', '경리', '경리사무원', '4대보험', '법인결산']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821782
28,(주)이스트시큐리티,[ESTsecurity] SW/Web 제품/서비스 기획자 (경력),경력,학력무관,서울 서초구,정규직,"['데이터분석가', 'IT컨설팅', '인프라', '클라우드', '서비스기획']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41820214
29,월스트리트인스티튜트코리아(주),월스트리트잉글리쉬 각 부문 신입/경력 상시 채용,경력무관,학력무관,서울 강남구,정규직,"['앱개발', '웹개발', '유지보수', '정보보안', '.NET']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41815811
30,(주)미디어로그,통신분야 SW개발,5 ~ 12년,대학교(4년)↑,서울전체,정규직,"['백엔드/서버개발', '웹개발', '프론트엔드', 'DBA', '인프라']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821840
31,에이비엘생명보험(주),에이비엘생명보험㈜ 직원 채용,신입 · 경력,대학교(4년)↑,서울 영등포구,정규직,"['앱개발', '유지보수', 'DBMS', 'Java', 'Javascript']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41816002
32,한국직업능력교육원 안산,경기/시흥・안산/군포 취업연수생 모집(ERP/정보보안/캐드/회계),경력무관,고졸↑,경기 안산시 단원구,교육생,"['백엔드/서버개발', '앱개발', '정보보안', '네트워크', '솔루션']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41725700&adsCategoryItem=effect_bold&
