,기업명,직무,경력,학력,근무지,근무형태,분류,상세링크,기업정보
27,㈜티비에이치글로벌,2021년 ㈜티비에이치글로벌 부문별 신입/경력 모집,신입·경력,초대졸↑,서울 강남구,"정규직                 외
","['남성의류, 여성의류, 의류, 패션, 마케팅, 마케팅기획, SNS운영, 상품기획, 온라인MD, 패션MD, MD, 국내영업, 일반영업, 고객관리, 매출관리, 영업관리, 영업기획, 영업지원, 매장관리, 매출관리, 일러스트레이터, 포토샵, 그래픽디자인, 일러스트레이터, 포토샵, 남성캐주얼디자인, 니트디자인, 여성정장, 여성캐주얼디자인']",https://www.jobkorea.co.kr/Recruit/GI_Read/36725274?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36725274?rPageCode=PL
28,㈜케이엘엠컴퍼니,"[신입/경력] 전략기획팀(마케팅 정규직 채용) [워라밸, 청년내일채움공제, 웃음까지] 경력과 성취감을 동시에",신입·경력,학력무관,서울 강남구 외,정규직,"['매니지먼트, 스튜디오, 엔터테인먼트사, 연예, 연예기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 판촉, 프로모션, AE, 광고관리, 브랜드, 사보제작, 언론홍보, 이벤트, 홍보, 홍보기획, SNS운영, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹프로모션, 키워드광고']",https://www.jobkorea.co.kr/Recruit/GI_Read/36726204?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36726204?rPageCode=PL
29,브이피㈜,[KT그룹사·BC카드 자회사] 각 부문별 경력/신입 채용,신입·경력1년↑,대졸↑,서울 중구,정규직,"['금융, 리눅스, ISP, 인증, 커머스, 페이먼트, MSA, springboot, VAN, 결제인증, 페이북, 메타버스, 구독서비스, 인증결제, 모바일앱개발, 소프트웨어개발, 모바일, 모바일App, 스마트폰, 아이폰, 안드로이드, 기획, 기획조사, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 전략, 타당성분석, 마케팅, 마케팅기획, 시장분석, 업무제휴, 상품기획, 신상품개발, SQL, 모바일기획, 웹기획, 웹서비스기획, 제안·컨설팅, 컨텐츠기획, 통계·로그분석, 온라인마케팅, 웹마케팅, 웹프로그래머, Java, SQL, 안드로이드, 응용프로그래머, 전산전공, Application, Linux, SQL, 컨텐츠개발, 컨텐츠관리, 소프트웨어']",https://www.jobkorea.co.kr/Recruit/GI_Read/36723919?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36723919?rPageCode=PL
30,㈜한익스프레스,2022년도 경력 및 신입사원 공개 모집,신입·경력,대졸↑,경기 전지역 외,정규직,"['B2B, 3PL, 물류관리사, 컨테이너, 협력사관리, 물류, 물류관리, 물류센터, 배송, 보관, 보세운송, 운송, 육상운송, 입출고관리, 입하, 출하, 포워딩, 하역, 항공운송, 해상운송, 무역업, 경영혁신, 기획, 사업기획, 사업제휴, 서비스기획, 전략, 관리회계, 원가회계, 전산회계, 판매관리, 회계, 마케팅, 마케팅기획, 바이럴마케팅, SNS운영, 물류, 배차, 보세운송, 창고관리, 항공운송, 해상운송, 국제물류, 영어, 일본어, 중국어, 물류, 물류관리, 재고관리, 창고관리, 물류관리, 물류센터, 상품입출고, 유통관리, 재고관리, 물류, 물류관리, 상품기획, 재고관리, 창고관리, 국내영업, 기술영업, 법인영업, 장비영업, 기술영업, 기술지원, 시스템영업, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 채권관리, 잡화판매, 재고관리, 판매관리, 택배·운송, CS, 바이럴마케팅, 온라인마케팅, 채권관리, 거래처관리, 채권관리']",https://www.jobkorea.co.kr/Recruit/GI_Read/36719246?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36719246?rPageCode=PL
31,케이티텔레캅㈜,2021년 12월 KT텔레캅 SG사원 수시채용,신입,고졸↑,서울,계약직,"['출동, 정보보안, 고객상담, 고객응대, 고객지원, CS, 보안관리, 보안관제, 보안기술, 시스템운영, 정보보안, 시스템엔지니어, 유지보수, A·S, 경비, 보안, 순찰, 안전, 보안, 보안검색']",https://www.jobkorea.co.kr/Recruit/GI_Read/36721089?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36721089?rPageCode=PL
32,연합뉴스,웹퍼블리셔 경력사원 모집,경력2년↑,대졸↑,서울 종로구,정규직,"['JavaScript, jquery, 신문사, 언론사, 디자인, 시각디자인, HTML, Java, mHTML, Java, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, CSS3, HTML5, HTML코딩, UI·UX, 자바스크립트, CSS, HTML']",https://www.jobkorea.co.kr/Recruit/GI_Read/36717204?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36717204?rPageCode=PL
33,한화테크윈(주),각 부문 인재영입,신입·경력,학력무관,경기 성남시,정규직,"['모바일앱개발, 소프트웨어개발, 솔루션, BigData, 경영기획, 경영혁신, 기획, 기획조사, 변화관리, 사업기획, 사업제휴, 서비스기획, 타당성분석, 경영지원, 회계, 결산, 재무, 재무기획, 재무회계, QA, 데이터베이스, DB2, MS-SQL, MySQL, SQL, 데이터마이닝, 네트워크관리, 네트워크엔지니어, 방화벽, 보안관리, 보안관제, 보안기술, 서버관리자, 시스템운영, 정보보안, Linux, POS, Unix, .NET, 웹프로그래머, Java, jsp, Python, .NET, 안드로이드, 응용프로그래머, Application, C, Linux, MFC, Python, SQL, 시스템프로그래머, 임베디드, 펌웨어, HMI, MMI, PLC, 웹접근성, UI·UX, 시스템분석, 시스템설계, 시스템엔지니어, 요구분석, DBA, Python, 인공지능(AI), 딥러닝, 데이터분석, 자연어처리(NLP), 유지보수, 펌웨어, 소프트웨어, 연구원, 전기·전자, 공정엔지니어, 설계엔지니어, 전기·전자회로, 테스트엔지니어, 펌웨어, 품질엔지니어, 하드웨어, PCB, PLC, 기구설계, 전기설계, catia, 광통신, 네트워크엔지니어, 무선통신, 위성통신, 전자통신, 정보통신, 통신공사, 통신기술, ADSL, CCTV, HFC, NFC, VoIP']",https://www.jobkorea.co.kr/Recruit/GI_Read/36713690?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36713690?rPageCode=PL
34,㈜아이비케이시스템,IBK시스템 직원 모집,신입·경력,학력무관,서울 중구 외,정규직,"['아키텍처, 앱개발, 웹개발, CISA, JavaScript, KPI, React, SPRING, VCP, Angular/React, 모바일앱개발, 소프트웨어개발, 솔루션, SI, SM, 네트웍구축, 네트워크보안, 유지보수, IT컨설팅, Oracle, 자재구매, 자재구매기획, 구매관리, 자재구매, SCM, 리눅스, 유닉스, 테스터, QA, 데이터베이스, DBA, MS-SQL, MySQL, Oracle, SQL, 데이터마이닝, 네트워크관리, 네트워크엔지니어, 보안관리, 보안관제, 서버관리자, 서버구축, 시스템운영, 정보보안, Apache, CCNA, Cisco, LAN, Linux, POS, Unix, 웹프로그래머, Java, jsp, MS-SQL, MySQL, SQL, 아이폰, 안드로이드, 응용프로그래머, 전산전공, 증강현실, API, Application, C, C++, Java, Linux, Oracle, Python, Unix, WAS, 시스템프로그래머, 웹사이트운영, 자바스크립트, CSS3, HTML5, 모델링, 시스템분석, 시스템설계, 시스템엔지니어, DBA, PM, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 머신러닝(ML), 딥러닝, 하둡(Hadoop), Spark, R, Perl, 챗봇(Chatbot), 데이터분석, 자연어처리(NLP), 유지보수, 펌웨어, 하드웨어, 소프트웨어']",https://www.jobkorea.co.kr/Recruit/GI_Read/36710451?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36710451?rPageCode=PL
35,미래에셋펀드서비스㈜,인턴십(채용연계형) 및 경력직 모집,신입·경력2년↑,대졸↑,서울 영등포구,"정규직                 외
","['자산관리, 금융자산관리, 자산운용, 금융, 자산관리사, 투자자문, 경영기획, 경영혁신, 타당성분석, 관리, 문서관리, 문서수발, 복리후생관리, 비품관리, 사무관리, 사무행정, 시설관리, 자산관리, 총무, 문서관리, 문서작성, 사무보조, 워드, 전산회계, 결산, 경영지원, 관리회계, 세무, 원가, 원가회계, 전산회계, 전표입력, 판매관리, 회계, 회계감사, ERP운용, 재무회계, 통계, 리눅스, 유닉스, MySQL, Oracle, SQL, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, 정보설계, .NET, 웹프로그래머, Java, 응용프로그래머, 전산전공, ASP.NET, C, C++, Java, Linux, Oracle, Python, SQL, Unix, VB.NET, VisualC, WAS, Windows, 시스템프로그래머, 펌웨어, 시스템분석, 시스템설계, 시스템엔지니어, 요구분석, PM, 펌웨어, 소프트웨어, 회계, 경영지원, 금융사무, 경영컨설팅, 금융컨설팅, 애널리스트, 투자심사, 투자자문']",https://www.jobkorea.co.kr/Recruit/GI_Read/36709218?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36709218?rPageCode=PL
36,㈜아이디헬스케어그룹,[아이디병원] IT팀 운영파트 채용,신입·경력1년↑,초대졸↑,서울 강남구 외,정규직,"['사내 네트워크 관리, IT자산, PC관리, 사내 pc관리, 성형외과, 치과, 피부과, 네트워크관리, 네트워크엔지니어, 보안관리, 보안기술, 서버관리자, 시스템운영, 정보보안, 유지보수, 펌웨어, 하드웨어, DSP, FPGA, 소프트웨어, 정보통신·IT']",https://www.jobkorea.co.kr/Recruit/GI_Read/36702856?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36702856?rPageCode=PL
37,유모멘트㈜ 아펠가모,"웨딩그룹[인사, 기획, 마케팅, 예약, 예식, 조리, 드레스샵] 신입/경력 채용",경력무관,학력무관,서울 강남구 외,정규직,"['브랜드 홍보, 인스타그램 운영, 이벤트운영, 인스타그램, 프리젠테이션, 결혼정보회사, 상조서비스, 연회장, 예식장, 웨딩컨설팅, 경영기획, 경영혁신, 기획, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 전략, 조직관리, 교육, 교육기획, 급여관리, 노무, 노사관리, 목표관리, 보상·승진, 성과관리, 인사, 인사기획, 인사통합, 인재개발, 임금관리, 채용·면접, HRD, Excel, OA, PowerPoint, 급여관리, ERP운용, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 판촉, 프로모션, 매장관리, 매장시설관리, 예약, 프런트, 홀써빙, 고객상담, 고객응대, 고객지원, 웨딩, 인바운드TM, 콜센터, CS, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 포토샵, 일러스트레이터, 포토샵, 포토샵, 단체급식, 매니저, 베이커리, 식품업체, 양식, 요리사, 일식, 제과점, 제빵사, 제빵점, 조리사, 주방보조, 주방장, 중식, 지배인, 찬모, 캡틴, 파티쉐, 푸드스타일리스트, 한식, Chef, 서빙']",https://www.jobkorea.co.kr/Recruit/GI_Read/36698005?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36698005?rPageCode=PL
38,㈜드림어스컴퍼니,FLO 전 직군 경력직 채용,경력,학력무관,서울 서초구,정규직,"['QA, 오디오콘텐츠, 음악콘텐츠, 음원 유통, 퍼포먼스마케팅, AWS, Azure, Backend, DBMS, DevOps, Front-end, Docker, GCP, golang, JavaScript, Kotlin, kubernetes, Java Spring Framework, kafka, NPM, NoSQL, ORM, Public Cloud, voc, vue.js, 콘서트 기획, 음원 공급, 컨텐츠, 기획, 사업기획, 서비스기획, 전략, 마케팅, 마케팅기획, 바이럴마케팅, 시장분석, 프로모션, MD, 상품기획, 신상품개발, 온라인MD, MD, CS, QA, 콜센터관리, 고객문의분석, 리눅스, SQL, 보안관리, 보안기술, 시스템운영, 웹서비스기획, 컨텐츠기획, Python, SQL, 아이폰, 안드로이드, 응용프로그래머, Application, Linux, Python, SQL, 시스템프로그래머, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 자바스크립트, UI·UX, UI·UX디자인, 시스템분석, 시스템설계, 시스템엔지니어, 빅데이터, Spark, 데이터분석, 음반기획·제작']",https://www.jobkorea.co.kr/Recruit/GI_Read/36666520?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36666520?rPageCode=PL
39,혼다코리아㈜,2022년 경력사원 채용,경력2년↑,학력무관,서울 강남구,정규직,"['자동차, 조선, 철강, 항공, 경영기획, 경영혁신, 기획, 기획조사, 변화관리, 사업기획, 서비스기획, 전략, 타당성분석, 교육기획, 급여관리, 노무, 목표관리, 성과관리, 인사, 인사기획, 인사통합, HRD, HRM, 비서, 수행비서, 임원비서, 전문비서, 경영지원, 기장, 세무, 예산관리, 이카운트, 회계, SAP, 결산, 세무, 자금, 재무, 재무기획, 재무회계, 통계, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 판촉, 광고관리, 브랜드, 언론홍보, 홍보, 홍보기획, SNS운영, 상품기획, 신상품개발, 거래선개발관리, 거래처관리, 고객관리, 매출관리, 영업관리, 영업기획, 영업지원, CS교육, 고객문의분석, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 로스쿨, 법률서비스, 법무대리, 법무사, 법학전공, 변리사, 시장조사, 조사분석, 통계']",https://www.jobkorea.co.kr/Recruit/GI_Read/36659527?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36659527?rPageCode=PL
