,기업명,직무,경력,학력,근무지,근무형태,분류,상세링크,기업정보
10,푸드케어,"[영유아식품] 생산/설비관리 신입,경력 채용",신입·경력,초대졸↑,경기 부천시 외,정규직,"['식품가공, 시스템분석, 시스템설계, 시스템엔지니어, 공정관리, 생산, 생산관리, 자재관리, HACCP, 생산직, 설비, 제조, 기능직, 기계, 기술직, 생산기술, 식품, 식품가공·개발']",https://www.jobkorea.co.kr/Recruit/GI_Read/36793280?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36793280?rPageCode=PL
11,㈜코드마,온라인마케팅 신입/경력 AE 및 콘텐츠 작가 채용,신입·경력1년↑,대졸↑,서울 서초구 외,정규직,"['광고기획, 이벤트, 컨텐츠, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 프로모션, AE, 브랜드, 이벤트, SNS운영, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 카페·블로그관리, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 광고기획, 브랜딩, AE, 기자, 작가']",https://www.jobkorea.co.kr/Recruit/GI_Read/36792240?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36792240?rPageCode=PL
12,HL Klemove,각 부문별 신입/경력 모집[공고연장],신입·경력2년↑,대졸↑,인천 연수구 외,정규직,"['메카트로닉스, 자동차, 자동차부품, 자동차정비, MEMS, 인사, 인사기획, 인사통합, 인재개발, 직무분석, 채용·면접, HTML, Java, jsp, mHTML, MS-SQL, MySQL, C, C#, C#Builder, C++, C++Builder, Embedded, Java, Pro-C, SQL, 시스템프로그래머, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, 유지보수, 공정, 공정관리, 생산관리']",https://www.jobkorea.co.kr/Recruit/GI_Read/36790959?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36790959?rPageCode=PL
13,니브스코리아㈜,"소프트웨어 개발(기획) 팀장 경력직 채용(java, C#)",경력8년↑,대졸↑,인천 연수구 외,정규직,"['CS, PL, web, 소프트웨어개발, 솔루션, BigData, DataMining, SI, 경영기획, 기획, 기획조사, 변화관리, 사업기획, 사업제휴, 서비스기획, 전략, 조직관리, 교육, 교육기획, 목표관리, 성과관리, 인사, 인사기획, 인사통합, 인재개발, 정보처리기사, 데이터베이스, DB2, DBA, 웹서비스기획, PM, 웹프로그래머, Java, jsp, MS-SQL, MySQL, 응용프로그래머, C, C#, Java, DBA, PM, 유지보수, 소프트웨어']",https://www.jobkorea.co.kr/Recruit/GI_Read/36779095?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36779095?rPageCode=PL
14,(재)이노베이션아카데미,(재)이노베이션아카데미 직원 채용공고,경력무관,학력무관,서울 강남구 외,계약직,"['공공기관, 재단법인, 협회, 경영기획, 기획, 사업기획, 서비스기획, 신규사업·BD, 관리, 문서관리, 복리후생관리, 사무관리, 사무행정, 총무, 교육, 성과관리, 인사, 인사기획, 경영지원, 통계, 전산전공, 소프트웨어, 교직원, 행정직']",https://www.jobkorea.co.kr/Recruit/GI_Read/36730790?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36730790?rPageCode=PL
15,㈜유스튜디오,마케터 채용 (신입/경력),신입·경력,학력무관,서울 서초구 외,정규직,"['스타트업, 에이전시, 프로젝트 기획, 에이전시 경력자, 프로덕션, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 광고관리, 브랜드, 사보제작, 이벤트, 프로모션, 제안·컨설팅']",https://www.jobkorea.co.kr/Recruit/GI_Read/36776939?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36776939?rPageCode=PL
16,㈜짱죽,웹디자인/포장디자인/편집디자이너 모집,경력1년↑,고졸↑,서울 중랑구,정규직,"['쇼핑몰관리, UI·UX디자인, 식품가공, MD, 리테일MD, 식품MD, AMD, 쇼핑몰, 드림위버, 일러스트레이터, 포토샵, CSS, UI·UX디자인, 광고디자인, 시각디자인, 잡지광고, 전단지디자인, POP광고']",https://www.jobkorea.co.kr/Recruit/GI_Read/36774889?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36774889?rPageCode=PL
17,㈜헤럴드,2021 헤럴드 해외홍보/ 마케팅 경력사원 모집,경력3년↑,대졸↑,서울 용산구,정규직,"['소셜네트워크서비스(SNS), 컨텐츠, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 키워드광고, 언론홍보, 홍보, 홍보기획, SNS운영, 영어, 해외마케팅, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹마케팅']",https://www.jobkorea.co.kr/Recruit/GI_Read/36740637?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36740637?rPageCode=PL
18,아시아나IDT㈜,아시아나IDT 12월 경력 채용,경력,대졸↑,서울 종로구,정규직,"['ERP, 클라우드, AWS, Docker, GIT, PL, restapi, SI영업, Spring Framework, 모바일앱개발, 기술영업, 기술지원, 네트워크영업, 솔루션영업, 시스템영업, 웹사이트구축영업, 리눅스, QA, Linux, Unix, Windows, PM, Python, 아이폰, 안드로이드, C#, Linux, Python, Unix, Windows, Python, 인공지능(AI), 머신러닝(ML), tensorflow']",https://www.jobkorea.co.kr/Recruit/GI_Read/36765682?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36765682?rPageCode=PL
19,㈜피삼일코리아,P-31 웹디자이너 정직원 경력직 채용,경력3년↑,학력무관,서울 금천구,정규직,"['웹디자이너, 상품기획, 소셜커머스, 쇼핑몰, 오픈마켓, 전자상거래, 웹사이트운영, 컨텐츠관리, 컨텐츠에디터, HTML5, HTML코딩, UI·UX, 일러스트레이터, 포토샵, CSS, HTML, UI·UX디자인, 시각디자인, 일러스트레이터, 포토샵, 광고디자인, 시각디자인']",https://www.jobkorea.co.kr/Recruit/GI_Read/36769100?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36769100?rPageCode=PL
20,㈜비상교육,2022년 비상교육 채용연계형 인턴모집,신입,학력무관,서울 구로구,인턴,"['경영기획, 경영혁신, 기획, 기획조사, 변화관리, 사업기획, 사업제휴, 서비스기획, 인수·합병, 조직관리, 출판기획, 타당성분석, 관리, 문서관리, 문서수발, 사무관리, 사무행정, 문서관리, 문서작성, 워드, 전산입력, 전산회계, Excel, PowerPoint, 경리, 경영지원, 관리회계, 급여관리, 세무, 전산회계, 전표입력, 회계, 가맹점관리, 고객관리, 매출관리, 영업관리, 영업기획, 영업지원, 게시판관리, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 일러스트레이터, 자바스크립트, 포토샵, HTML, 교재편집, 북디자인, 카탈로그편집, 편집디자인(IBM), 편집디자인(MAC), 폰트·서체, 삽화·일러스트, 문구디자인, 잡화디자인, 제품디자인, 팬시디자인, 포장디자인, 과학, 국사, 국어, 미술, 사회, 세계사, 수학, 영어, 영어강사, 음악, 교수설계, 교육기획, 교육진행, 교육행정, 교재컨텐츠개발, 교육프로그램, 교육·교재연구, 인문·사회과학']",https://www.jobkorea.co.kr/Recruit/GI_Read/36767337?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36767337?rPageCode=PL
21,㈜영원아웃도어,21년도 4Q 부문별 수시 채용(신입/경력),신입·경력3년↑,학력무관,경기 성남시,정규직,"['교육, 인사, 인사기획, 인사통합, 채용·면접, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 프로모션, 패션MD, 가맹점영업, 국내영업, 일반영업, 가맹점관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 매장관리, 매출관리, 의류판매, 판매관리, 일러스트레이터, 포토샵']",https://www.jobkorea.co.kr/Recruit/GI_Read/36767511?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36767511?rPageCode=PL
22,디자인피버,디지털 마케팅 AE/웹기획/PM,신입·경력,학력무관,서울 마포구,정규직,"['광고디자인, 온라인광고, 이벤트대행, 마케팅기획, 브랜딩, 소셜미디어, AE, 웹기획, 웹서비스기획, 컨텐츠기획, PM, AE']",https://www.jobkorea.co.kr/Recruit/GI_Read/36766678?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36766678?rPageCode=PL
23,㈜퍼시픽링스코리아,퍼시픽링스 2022년 상반기 대규모 채용,신입·경력,학력무관,서울 강남구,정규직,"['UI·UX디자인, 골프강사, 골프장, 골프장클럽하우스, 생활체육, 스포츠, 공무, 관리, 사무행정, 시설관리, 임금관리, 자산관리, 총무, 교수설계, 교육, 교육기획, 교육훈련, 급여관리, 노무, 목표관리, 인사, 인사기획, 인사통합, 인재개발, 경리, 경영지원, 관리회계, 예산관리, 원가회계, 전산회계, 전표입력, 출납, 판매관리, 회계, 마케팅, 마케팅기획, 시장분석, 업무제휴, 가맹점영업, 국내영업, 법인영업, 일반영업, 금융영업, 보험영업, 자산관리, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 매출관리, 영업관리, 영업기획, 법인영업, 일반영업, 고객상담, 고객응대, 고객지원, 인바운드TM, 콜센터, CS, 고객관리, 서비스홍보, 제품홍보, 홍보상담, 회원관리, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 웹퍼블리셔, CSS, CSS3, HTML5, HTML코딩, UI·UX, 모바일UI, 웹UI, 일러스트레이터, 포토샵, CSS, GUI, HTML, UI·UX디자인, 승무원, 여행사, 컨시어지, 예약·발권, 골프장, 레저, 생활체육, 스포츠, 교수설계, 교육기획, 교육진행, 교육프로그램, 동시통역, 번역, 영어, 중국어, 통역']",https://www.jobkorea.co.kr/Recruit/GI_Read/36761697?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36761697?rPageCode=PL
24,대방건설,대방건설 2022년 신입사원 공개채용,신입,대졸↑,서울,정규직,"['건설, 공무, 법무, 인허가업무, 예산관리, 마케팅, 마케팅기획, 언론홍보, 홍보, 홍보기획, 자재관리, 자재구매, 자재구매기획, 자재통합, 건설자재, 자재관리, 자재구매, 자재구매기획, 자재통합, 온라인마케팅, 공정, 공정관리, 안전, 자재관리, 품질, 품질검사, 품질관리, 품질보증, 건설, 건축, 전기설비, 건축모형, 건축설계, 건축설비설계, 조경설계, 토목설계, 건축설계, 건축시공, 실내건축, 인테리어시공, 조경디자인, 건설현장, 건축감리, 건축시공, 건축자재, 건축CM, 공무, 공사감리, 노무, 소방감리, 시공, 시공감리, 토목감리, 현장감리, 현장관리, 현장소장, 조경, 토목, 토목기사, 건설안전, 건축설비, 공조냉동, 기계설비, 산업안전, 소방설비, 시설관리, 안전, 전기공사, 전기기사, 전기배선, 전기설비, 품질관리, 소방·방재, 가스점검, 전기점검, 견적·시세, 경매입찰, 부동산, 부동산개발, 부동산시행, 분양대행, 분양상담사, 영업·홍보, 산업안전, 산업안전기사, 소방, 시설관리, 안전, 전기공사, 건설·교통']",https://www.jobkorea.co.kr/Recruit/GI_Read/36734329?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36734329?rPageCode=PL
25,엔아이티서비스㈜,겨울방학 특집 하반기 채용,신입·경력,학력무관,경기 성남시 외,정규직,"['IDS, 네이버, 네이버페이, 클라우드, AWS, Azure, Cloud, ddos, Docker, IPS, kubernetes, naver, Shell Script, web, WAF, 네이버 클라우드, 네이퍼 파이낸셜, 기술지원, 고객상담, 고객응대, 고객지원, 인터넷쇼핑몰, 통신업체, CS, 데이터베이스, DB2, DBA, DW, MS-SQL, MySQL, Oracle, SQL, 네트워크관리, 네트워크엔지니어, 방화벽, 보안관리, 보안관제, 보안기술, 서버관리자, 서버구축, 시스템운영, 정보보안, Linux, Windows, 모바일기획, 웹기획, 웹프로그래머, HTML, Java, jsp, mHTML, MS-SQL, MySQL, php, Python, SQL, .NET, 아이폰, 안드로이드, 액션스크립트, 응용프로그래머, 전산전공, 플래시APP, API, Application, C, C#, C#Builder, C++, C++Builder, DirectX, Embedded, Java, Linux, Oracle, Python, SAP, SQL, Unix, WAS, Windows, WindowsMobile, 가상현실, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, 쇼핑몰, 웹사이트운영, 카페·블로그관리, Helpdesk, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, CSS3, HTML5, HTML코딩, UI·UX']",https://www.jobkorea.co.kr/Recruit/GI_Read/36745235?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36745235?rPageCode=PL
26,㈜GS리테일,디지털커머스 B/U 대규모 경력 채용,경력,대졸↑,서울 강남구 외,정규직,"['고객분석, BX디자인, 마트, 숍마스터, 유통, 기획, 기획조사, 변화관리, 사업기획, 서비스기획, 전략, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 키워드광고, 프로모션, CRM, 광고관리, 이벤트, 홍보, 홍보기획, 물류, 자재관리, 자재구매, 자재구매기획, 자재통합, 창고관리, 항공운송, 구매관리, 물류관리, 물류센터, 유통관리, 자재관리, 자재구매, 자재구매기획, 재고관리, 리테일MD, 물류, 물류관리, 상품기획, 상품입출고, 식품MD, 신상품개발, 온라인MD, 유통관리, 재고관리, 창고관리, MD, VMD, AMD, 매장관리, 매장시설관리, 판매관리, 모바일기획, 웹기획, 웹서비스기획, UI설계, 바이럴마케팅, 온라인마케팅, 웹마케팅, 웹퍼블리셔, 자바스크립트, UI·UX, 모바일UI, 웹UI, 포토샵, UI·UX디자인, Python, 빅데이터, 데이터분석, 하드웨어, 소프트웨어']",https://www.jobkorea.co.kr/Recruit/GI_Read/36746605?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36746605?rPageCode=PL
